Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
"docs/TGFX16/TurboGrafx-CD Manuals/Addams Family, The.pdf",https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FAddams%20Family%2C%20The.pdf,1243899,31f6844ed5fe3b4e75563a8979e85ee3,,,"Addams Family, The.pdf"
docs/TGFX16/TurboGrafx-CD Manuals/Bazar de Gozarre_s Puzzle Game.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FBazar%20de%20Gozarre_s%20Puzzle%20Game.pdf,4103538,13a2a7d75b55cc17bd64cc9ea0cd6a78,,,Bazar de Gozarre_s Puzzle Game.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Beyond Shadowgate.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FBeyond%20Shadowgate.pdf,2312797,8c650dca912a9aa2051930cb25a5aeed,,,Beyond Shadowgate.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Buster Bros..pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FBuster%20Bros..pdf,1589649,6bd460be1679ce8b111fd641a1b2b5f9,,,Buster Bros..pdf
docs/TGFX16/TurboGrafx-CD Manuals/Camp California.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FCamp%20California.pdf,2259114,072acfe500f25c22a6c5d90b5017a0d4,,,Camp California.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Cosmic Fantasy 2.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FCosmic%20Fantasy%202.pdf,2452584,bc819513e6f232a8d80903dd463b1184,,,Cosmic Fantasy 2.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Cotton - Fantastic Night Dreams.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FCotton%20-%20Fantastic%20Night%20Dreams.pdf,1639959,ee98f5cab05ab71f80304c6d0cd76c65,,,Cotton - Fantastic Night Dreams.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Dragon Slayer - The Legend of Heroes.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FDragon%20Slayer%20-%20The%20Legend%20of%20Heroes.pdf,2724406,0917091affe93a4f7c65e45d475d09cc,,,Dragon Slayer - The Legend of Heroes.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Dungeon Explorer II.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FDungeon%20Explorer%20II.pdf,3224188,adf4934df5e5275014f62b61542bbb6b,,,Dungeon Explorer II.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Dungeon Master - Theron_s Quest.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FDungeon%20Master%20-%20Theron_s%20Quest.pdf,3592709,947b520015059f4acaafe27eb810b423,,,Dungeon Master - Theron_s Quest.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Exile - Wicked Phenomenon.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FExile%20-%20Wicked%20Phenomenon.pdf,2331766,044dc452a3e93fe2a603c3b9fcfe0f19,,,Exile - Wicked Phenomenon.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Exile .pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FExile%20.pdf,2490990,5bc92d185bc48e6c3b67170a37c4ada1,,,Exile .pdf
docs/TGFX16/TurboGrafx-CD Manuals/Fighting Street.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FFighting%20Street.pdf,1347251,b7d7e0bb805764ff2665db6e2763999a,,,Fighting Street.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Final Zone II.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FFinal%20Zone%20II.pdf,1282337,760b526f25b8cd3ea6a2a6d4c40c7a6d,,,Final Zone II.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Forgotten Worlds.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FForgotten%20Worlds.pdf,1346873,e37cf4066d1df76ad5d49a1c87ed4a07,,,Forgotten Worlds.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Gate of Thunder.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FGate%20of%20Thunder.pdf,1350317,11f927d9a12a227b580febb6ec018e8c,,,Gate of Thunder.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Godzilla.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FGodzilla.pdf,2137425,1aa1e4b32227ba4da6300fc396e3a90f,,,Godzilla.pdf
docs/TGFX16/TurboGrafx-CD Manuals/It Came from the Desert.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FIt%20Came%20from%20the%20Desert.pdf,1347660,9b5b0f1bc2fbd435261ca57c3068ab49,,,It Came from the Desert.pdf
docs/TGFX16/TurboGrafx-CD Manuals/J.B. Harold Murder Club.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FJ.B.%20Harold%20Murder%20Club.pdf,1308637,75f0005c74376e89bcadaeb33d18a555,,,J.B. Harold Murder Club.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Jack Nicklaus - Turbo Golf.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FJack%20Nicklaus%20-%20Turbo%20Golf.pdf,2515280,fde532b6e4e6822e474409548cbc4964,,,Jack Nicklaus - Turbo Golf.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Last Alert.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FLast%20Alert.pdf,1315530,f711ad94dc5e3ae6ffe373118dfebb44,,,Last Alert.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Loom.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FLoom.pdf,3012431,601bf169edebc78e733c4921ad338e10,,,Loom.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Lords of Thunder.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FLords%20of%20Thunder.pdf,1708162,2e503967e005516071d13658ce79f966,,,Lords of Thunder.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Lords of the Rising Sun.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FLords%20of%20the%20Rising%20Sun.pdf,2583326,0fdcf54ec4102051cf816e655b988551,,,Lords of the Rising Sun.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Magical Dinosaur Tour.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FMagical%20Dinosaur%20Tour.pdf,1343582,e84d42f93637d97c7f70135822d17c3a,,,Magical Dinosaur Tour.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Might and Magic III - Isles of Terra.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FMight%20and%20Magic%20III%20-%20Isles%20of%20Terra.pdf,5053833,420fbdd916ccfa82ff3b1b3bbaebadf2,,,Might and Magic III - Isles of Terra.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Monster Lair.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FMonster%20Lair.pdf,1743322,6536b1b4871f171431c0c97948abd99d,,,Monster Lair.pdf
docs/TGFX16/TurboGrafx-CD Manuals/Prince of Persia.pdf,https://archive.org/download/mister-manuals/1989_NEC%20TurboGrafx-CD.zip/1989_NEC%20TurboGrafx-CD%2FPrince%20of%20Persia.pdf,2507159,ad56bd0ab75112a20839b0661726cdc8,,,Prince of Persia.pdf
